movieId,title,genres,year,Title
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story
6,Heat (1995),Action|Crime|Thriller,1995,Heat
16,Casino (1995),Crime|Drama,1995,Casino
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,The Usual Suspects
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,The Postman
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,The Bridges of Madison County
110,Braveheart (1995),Action|Drama|War,1995,Braveheart
111,Taxi Driver (1976),Crime|Drama|Thriller,1976,Taxi Driver
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994,Chungking Express
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995,Apollo 13
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964,The Umbrellas of Cherbourg
215,Before Sunrise (1995),Drama|Romance,1995,Before Sunrise
223,Clerks (1994),Comedy,1994,Clerks
235,Ed Wood (1994),Comedy|Drama,1994,Ed Wood
261,Little Women (1994),Drama,1994,Little Women
277,Miracle on 34th Street (1994),Drama,1994,Miracle on 34th Street
290,Once Were Warriors (1994),Crime|Drama,1994,Once Were Warriors
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,1994,Léon: The Professional
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,1994,Three Colors: Red
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,1993,Three Colors: Blue
337,What's Eating Gilbert Grape (1993),Drama,1993,What's Eating Gilbert Grape
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,1994,The Lion King
431,Carlito's Way (1993),Crime|Drama,1993,Carlito's Way
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,1993,Farewell My Concubine
457,"Fugitive, The (1993)",Thriller,1993,The Fugitive
475,In the Name of the Father (1993),Drama,1993,In the Name of the Father
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,1993,Jurassic Park
501,Naked (1993),Drama,1993,Naked
508,Philadelphia (1993),Drama,1993,Philadelphia
515,"Remains of the Day, The (1993)",Drama|Romance,1993,The Remains of the Day
541,Blade Runner (1982),Action|Sci-Fi|Thriller,1982,Blade Runner
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,1993,The Nightmare Before Christmas
553,Tombstone (1993),Action|Drama|Western,1993,Tombstone
555,True Romance (1993),Crime|Thriller,1993,True Romance
586,Home Alone (1990),Children|Comedy,1990,Home Alone
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,1992,Aladdin
590,Dances with Wolves (1990),Adventure|Drama|Western,1990,Dances with Wolves
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,1991,Beauty and the Beast
599,"Wild Bunch, The (1969)",Adventure|Western,1969,The Wild Bunch
608,Fargo (1996),Comedy|Crime|Drama|Thriller,1996,Fargo
628,Primal Fear (1996),Crime|Drama|Mystery|Thriller,1996,Primal Fear
640,Diabolique (1996),Drama|Thriller,1996,Diabolique
665,Underground (1995),Comedy|Drama|War,1995,Underground
741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi,1995,Ghost in the Shell
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
778,Trainspotting (1996),Comedy|Crime|Drama,1996,Trainspotting
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,1940,The Philadelphia Story
899,Singin' in the Rain (1952),Comedy|Musical|Romance,1952,Singin' in the Rain
903,Vertigo (1958),Drama|Mystery|Romance|Thriller,1958,Vertigo
905,It Happened One Night (1934),Comedy|Romance,1934,It Happened One Night
906,Gaslight (1944),Drama|Thriller,1944,Gaslight
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,1959,North by Northwest
909,"Apartment, The (1960)",Comedy|Drama|Romance,1960,The Apartment
910,Some Like It Hot (1959),Comedy|Crime,1959,Some Like It Hot
911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller,1963,Charade
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,1941,The Maltese Falcon
914,My Fair Lady (1964),Comedy|Drama|Musical|Romance,1964,My Fair Lady
916,Roman Holiday (1953),Comedy|Drama|Romance,1953,Roman Holiday
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,1939,The Wizard of Oz
920,Gone with the Wind (1939),Drama|Romance|War,1939,Gone with the Wind
923,Citizen Kane (1941),Drama|Mystery,1941,Citizen Kane
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,1968,2001: A Space Odyssey
926,All About Eve (1950),Drama,1950,All About Eve
928,Rebecca (1940),Drama|Mystery|Romance|Thriller,1940,Rebecca
930,Notorious (1946),Film-Noir|Romance|Thriller,1946,Notorious
940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,1938,The Adventures of Robin Hood
942,Laura (1944),Crime|Film-Noir|Mystery,1944,Laura
946,To Be or Not to Be (1942),Comedy|Drama|War,1942,To Be or Not to Be
947,My Man Godfrey (1936),Comedy|Romance,1936,My Man Godfrey
949,East of Eden (1955),Drama,1955,East of Eden
950,"Thin Man, The (1934)",Comedy|Crime,1934,The Thin Man
951,His Girl Friday (1940),Comedy|Romance,1940,His Girl Friday
954,Mr. Smith Goes to Washington (1939),Drama,1939,Mr. Smith Goes to Washington
955,Bringing Up Baby (1938),Comedy|Romance,1938,Bringing Up Baby
968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller,1968,Night of the Living Dead
969,"African Queen, The (1951)",Adventure|Comedy|Romance|War,1951,The African Queen
971,Cat on a Hot Tin Roof (1958),Drama,1958,Cat on a Hot Tin Roof
1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,1964,Mary Poppins
1035,"Sound of Music, The (1965)",Musical|Romance,1965,The Sound of Music
1036,Die Hard (1988),Action|Crime|Thriller,1988,Die Hard
1041,Secrets & Lies (1996),Drama,1996,Secrets & Lies
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,1971,Willy Wonka & the Chocolate Factory
1076,"Innocents, The (1961)",Drama|Horror|Thriller,1961,The Innocents
1080,Monty Python's Life of Brian (1979),Comedy,1979,Monty Python's Life of Brian
1084,Bonnie and Clyde (1967),Crime|Drama,1967,Bonnie and Clyde
1086,Dial M for Murder (1954),Crime|Mystery|Thriller,1954,Dial M for Murder
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,1992,Reservoir Dogs
1090,Platoon (1986),Drama|War,1986,Platoon
1095,Glengarry Glen Ross (1992),Drama,1992,Glengarry Glen Ross
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,1982,E.T. the Extra-Terrestrial
1131,Jean de Florette (1986),Drama|Mystery,1986,Jean de Florette
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,1975,Monty Python and the Holy Grail
1178,Paths of Glory (1957),Drama|War,1957,Paths of Glory
1185,My Left Foot (1989),Drama,1989,My Left Foot
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,1987,The Princess Bride
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,1981,Raiders of the Lost Ark
1199,Brazil (1985),Fantasy|Sci-Fi,1985,Brazil
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,1986,Aliens
1204,Lawrence of Arabia (1962),Adventure|Drama|War,1962,Lawrence of Arabia
1207,To Kill a Mockingbird (1962),Drama,1962,To Kill a Mockingbird
1208,Apocalypse Now (1979),Action|Drama|War,1979,Apocalypse Now
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,1983,Star Wars: Episode VI - Return of the Jedi
1211,"Wings of Desire (Himmel über Berlin, Der) (1987)",Drama|Fantasy|Romance,1987,Wings of Desire
1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller,1949,The Third Man
1214,Alien (1979),Horror|Sci-Fi,1979,Alien
1217,Ran (1985),Drama|War,1985,Ran
1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller,1989,The Killer
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,1980,The Blues Brothers
1222,Full Metal Jacket (1987),Drama|War,1987,Full Metal Jacket
1225,Amadeus (1984),Drama,1984,Amadeus
1227,Once Upon a Time in America (1984),Crime|Drama,1984,Once Upon a Time in America
1228,Raging Bull (1980),Drama,1980,Raging Bull
1230,Annie Hall (1977),Comedy|Romance,1977,Annie Hall
1231,"Right Stuff, The (1983)",Drama,1983,The Right Stuff
1232,Stalker (1979),Drama|Mystery|Sci-Fi,1979,Stalker
1234,"Sting, The (1973)",Comedy|Crime,1973,The Sting
1235,Harold and Maude (1971),Comedy|Drama|Romance,1971,Harold and Maude
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,1957,The Seventh Seal
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,1984,The Terminator
1242,Glory (1989),Drama|War,1989,Glory
1244,Manhattan (1979),Comedy|Drama|Romance,1979,Manhattan
1245,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller,1990,Miller's Crossing
1246,Dead Poets Society (1989),Drama,1989,Dead Poets Society
1247,"Graduate, The (1967)",Comedy|Drama|Romance,1967,The Graduate
1248,Touch of Evil (1958),Crime|Film-Noir|Thriller,1958,Touch of Evil
1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War,1957,The Bridge on the River Kwai
1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,1974,Chinatown
1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller,1951,The Day the Earth Stood Still
1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western,1948,The Treasure of the Sierra Madre
1256,Duck Soup (1933),Comedy|Musical|War,1933,Duck Soup
1258,"Shining, The (1980)",Horror,1980,The Shining
1259,Stand by Me (1986),Adventure|Drama,1986,Stand by Me
1260,M (1931),Crime|Film-Noir|Thriller,1931,M
1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror,1987,Evil Dead II
1262,"Great Escape, The (1963)",Action|Adventure|Drama|War,1963,The Great Escape
1263,"Deer Hunter, The (1978)",Drama|War,1978,The Deer Hunter
1265,Groundhog Day (1993),Comedy|Fantasy|Romance,1993,Groundhog Day
1266,Unforgiven (1992),Drama|Western,1992,Unforgiven
1267,"Manchurian Candidate, The (1962)",Crime|Thriller|War,1962,The Manchurian Candidate
1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,1944,Arsenic and Old Lace
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,1985,Back to the Future
1271,Fried Green Tomatoes (1991),Comedy|Crime|Drama,1991,Fried Green Tomatoes
1272,Patton (1970),Drama|War,1970,Patton
1274,Akira (1988),Action|Adventure|Animation|Sci-Fi,1988,Akira
1276,Cool Hand Luke (1967),Drama,1967,Cool Hand Luke
1278,Young Frankenstein (1974),Comedy|Fantasy,1974,Young Frankenstein
1279,Night on Earth (1991),Comedy|Drama,1991,Night on Earth
1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,1991,Raise the Red Lantern
1281,"Great Dictator, The (1940)",Comedy|Drama|War,1940,The Great Dictator
1282,Fantasia (1940),Animation|Children|Fantasy|Musical,1940,Fantasia
1283,High Noon (1952),Drama|Western,1952,High Noon
1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery,1946,The Big Sleep
1287,Ben-Hur (1959),Action|Adventure|Drama,1959,Ben-Hur
1288,This Is Spinal Tap (1984),Comedy,1984,This Is Spinal Tap
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,1989,Indiana Jones and the Last Crusade
1292,Being There (1979),Comedy|Drama,1979,Being There
1293,Gandhi (1982),Drama,1982,Gandhi
1298,Pink Floyd: The Wall (1982),Drama|Musical,1982,Pink Floyd: The Wall
1299,"Killing Fields, The (1984)",Drama|War,1984,The Killing Fields
1303,"Man Who Would Be King, The (1975)",Adventure|Drama,1975,The Man Who Would Be King
1304,Butch Cassidy and the Sundance Kid (1969),Action|Western,1969,Butch Cassidy and the Sundance Kid
1307,When Harry Met Sally... (1989),Comedy|Romance,1989,When Harry Met Sally...
1333,"Birds, The (1963)",Horror|Thriller,1963,The Birds
1343,Cape Fear (1991),Thriller,1991,Cape Fear
1344,Cape Fear (1962),Crime|Drama|Thriller,1962,Cape Fear
1354,Breaking the Waves (1996),Drama|Mystery,1996,Breaking the Waves
1358,Sling Blade (1996),Drama,1996,Sling Blade
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller,1982,Star Trek II: The Wrath of Khan
1387,Jaws (1975),Action|Horror,1975,Jaws
1408,"Last of the Mohicans, The (1992)",Action|Romance|War|Western,1992,The Last of the Mohicans
1411,Hamlet (1996),Crime|Drama|Romance,1996,Hamlet
1414,Mother (1996),Comedy,1996,Mother
1466,Donnie Brasco (1997),Crime|Drama,1997,Donnie Brasco
1483,Crash (1996),Drama|Thriller,1996,Crash
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,1997,The Fifth Element
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,1997,L.A. Confidential
1625,"Game, The (1997)",Drama|Mystery|Thriller,1997,The Game
1653,Gattaca (1997),Drama|Sci-Fi|Thriller,1997,Gattaca
1673,Boogie Nights (1997),Drama,1997,Boogie Nights
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,1998,The Truman Show
1704,Good Will Hunting (1997),Drama|Romance,1997,Good Will Hunting
1721,Titanic (1997),Drama|Romance,1997,Titanic
1726,"Postman, The (1997)",Action|Adventure|Drama|Sci-Fi,1997,The Postman
1732,"Big Lebowski, The (1998)",Comedy|Crime,1998,The Big Lebowski
1735,Great Expectations (1998),Drama|Romance,1998,Great Expectations
1784,As Good as It Gets (1997),Comedy|Drama|Romance,1997,As Good as It Gets
1859,Taste of Cherry (Ta'm e guilass) (1997),Drama,1997,Taste of Cherry
1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance,1998,Mulan
1927,All Quiet on the Western Front (1930),Action|Drama|War,1930,All Quiet on the Western Front
1934,You Can't Take It with You (1938),Comedy|Romance,1938,You Can't Take It with You
1935,How Green Was My Valley (1941),Drama|Musical|Romance,1941,How Green Was My Valley
1938,"Lost Weekend, The (1945)",Drama,1945,The Lost Weekend
1939,"Best Years of Our Lives, The (1946)",Drama|War,1946,The Best Years of Our Lives
1941,Hamlet (1948),Drama,1948,Hamlet
1945,On the Waterfront (1954),Crime|Drama,1954,On the Waterfront
1950,In the Heat of the Night (1967),Drama|Mystery,1967,In the Heat of the Night
1952,Midnight Cowboy (1969),Drama,1969,Midnight Cowboy
1953,"French Connection, The (1971)",Action|Crime|Thriller,1971,The French Connection
1954,Rocky (1976),Drama,1976,Rocky
1955,Kramer vs. Kramer (1979),Drama,1979,Kramer vs. Kramer
1956,Ordinary People (1980),Drama,1980,Ordinary People
1960,"Last Emperor, The (1987)",Drama,1987,The Last Emperor
1961,Rain Man (1988),Drama,1988,Rain Man
1968,"Breakfast Club, The (1985)",Comedy|Drama,1985,The Breakfast Club
1982,Halloween (1978),Horror,1978,Halloween
1997,"Exorcist, The (1973)",Horror|Mystery,1973,The Exorcist
2005,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,1985,The Goonies
2010,Metropolis (1927),Drama|Sci-Fi,1927,Metropolis
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,1989,Back to the Future Part II
2065,"Purple Rose of Cairo, The (1985)",Comedy|Drama|Fantasy|Romance,1985,The Purple Rose of Cairo
2066,Out of the Past (1947),Film-Noir,1947,Out of the Past
2067,Doctor Zhivago (1965),Drama|Romance|War,1965,Doctor Zhivago
2068,Fanny and Alexander (Fanny och Alexander) (1982),Drama|Fantasy|Mystery,1982,Fanny and Alexander
2076,Blue Velvet (1986),Drama|Mystery|Thriller,1986,Blue Velvet
2083,"Muppet Christmas Carol, The (1992)",Children|Comedy|Musical,1992,The Muppet Christmas Carol
2131,Autumn Sonata (Höstsonaten) (1978),Drama,1978,Autumn Sonata
2132,Who's Afraid of Virginia Woolf? (1966),Drama,1966,Who's Afraid of Virginia Woolf?
2153,"Avengers, The (1998)",Action|Adventure,1998,The Avengers
2160,Rosemary's Baby (1968),Drama|Horror|Thriller,1968,Rosemary's Baby
2176,Rope (1948),Crime|Drama|Thriller,1948,Rope
2186,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller,1951,Strangers on a Train
2194,"Untouchables, The (1987)",Action|Crime|Drama,1987,The Untouchables
2203,Shadow of a Doubt (1943),Crime|Drama|Thriller,1943,Shadow of a Doubt
2208,"Lady Vanishes, The (1938)",Drama|Mystery|Thriller,1938,The Lady Vanishes
2252,Hero (1992),Comedy|Drama,1992,Hero
2256,Parasite (1982),Horror|Sci-Fi,1982,Parasite
2288,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,1982,The Thing
2291,Edward Scissorhands (1990),Drama|Fantasy|Romance,1990,Edward Scissorhands
2302,My Cousin Vinny (1992),Comedy,1992,My Cousin Vinny
2313,"Elephant Man, The (1980)",Drama,1980,The Elephant Man
2318,Happiness (1998),Comedy|Drama,1998,Happiness
2329,American History X (1998),Crime|Drama,1998,American History X
2351,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama,1957,Nights of Cabiria
2357,Central Station (Central do Brasil) (1998),Drama,1998,Central Station
2360,"Celebration, The (Festen) (1998)",Drama,1998,The Celebration
2366,King Kong (1933),Action|Adventure|Fantasy|Horror,1933,King Kong
2367,King Kong (1976),Adventure|Fantasy|Romance|Sci-Fi|Thriller,1976,King Kong
2398,Miracle on 34th Street (1947),Comedy|Drama,1947,Miracle on 34th Street
2403,First Blood (Rambo: First Blood) (1982),Action|Adventure|Drama|Thriller,1982,First Blood
2425,"General, The (1998)",Crime,1998,The General
2427,"Thin Red Line, The (1998)",Action|Drama|War,1998,The Thin Red Line
2467,"Name of the Rose, The (Name der Rose, Der) (1986)",Crime|Drama|Mystery|Thriller,1986,The Name of the Rose
2501,October Sky (1999),Drama,1999,October Sky
2502,Office Space (1999),Comedy|Crime,1999,Office Space
2529,Planet of the Apes (1968),Action|Drama|Sci-Fi,1968,Planet of the Apes
2594,Open Your Eyes (Abre los ojos) (1997),Drama|Romance|Sci-Fi|Thriller,1997,Open Your Eyes
2612,Mildred Pierce (1945),Drama|Film-Noir,1945,Mildred Pierce
2648,Frankenstein (1931),Drama|Horror|Sci-Fi,1931,Frankenstein
2664,Invasion of the Body Snatchers (1956),Horror|Sci-Fi|Thriller,1956,Invasion of the Body Snatchers
2691,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)",Drama,1998,The Legend of 1900
2692,Run Lola Run (Lola rennt) (1998),Action|Crime,1998,Run Lola Run
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,1984,Ghostbusters
2726,"Killing, The (1956)",Crime|Film-Noir,1956,The Killing
2728,Spartacus (1960),Action|Drama|Romance|War,1960,Spartacus
2730,Barry Lyndon (1975),Drama|Romance|War,1975,Barry Lyndon
2731,"400 Blows, The (Les quatre cents coups) (1959)",Crime|Drama,1959,The 400 Blows
2739,"Color Purple, The (1985)",Drama,1985,The Color Purple
2761,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi,1999,The Iron Giant
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,1999,The Sixth Sense
2791,Airplane! (1980),Comedy,1980,Airplane!
2810,Perfect Blue (1997),Animation|Horror|Mystery|Thriller,1997,Perfect Blue
2820,Hamlet (1964),Drama,1964,Hamlet
2858,American Beauty (1999),Drama|Romance,1999,American Beauty
2871,Deliverance (1972),Adventure|Drama|Thriller,1972,Deliverance
2905,Sanjuro (Tsubaki Sanjûrô) (1962),Action|Adventure|Drama,1962,Sanjuro
2918,Ferris Bueller's Day Off (1986),Comedy,1986,Ferris Bueller's Day Off
2925,"Conformist, The (Conformista, Il) (1970)",Drama,1970,The Conformist
2927,Brief Encounter (1946),Drama|Romance,1946,Brief Encounter
2931,Time of the Gypsies (Dom za vesanje) (1989),Comedy|Crime|Drama|Fantasy,1989,Time of the Gypsies
2932,Days of Heaven (1978),Drama,1978,Days of Heaven
2936,Sullivan's Travels (1941),Adventure|Comedy|Romance,1941,Sullivan's Travels
2944,"Dirty Dozen, The (1967)",Action|Drama|War,1967,The Dirty Dozen
2947,Goldfinger (1964),Action|Adventure|Thriller,1964,Goldfinger
2966,"Straight Story, The (1999)",Adventure|Drama,1999,The Straight Story
2970,Fitzcarraldo (1982),Adventure|Drama,1982,Fitzcarraldo
2971,All That Jazz (1979),Drama|Fantasy|Musical,1979,All That Jazz
2973,Crimes and Misdemeanors (1989),Comedy|Crime|Drama,1989,Crimes and Misdemeanors
2985,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller,1987,RoboCop
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy,1999,Being John Malkovich
3000,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy,1997,Princess Mononoke
3006,"Insider, The (1999)",Drama|Thriller,1999,The Insider
3022,"General, The (1926)",Comedy|War,1926,The General
3030,Yojimbo (1961),Action|Adventure,1961,Yojimbo
3062,"Longest Day, The (1962)",Action|Drama|War,1962,The Longest Day
3068,"Verdict, The (1982)",Drama|Mystery,1982,The Verdict
3083,All About My Mother (Todo sobre mi madre) (1999),Drama,1999,All About My Mother
3088,Harvey (1950),Comedy|Fantasy,1950,Harvey
3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama,1948,Bicycle Thieves
3095,"Grapes of Wrath, The (1940)",Drama,1940,The Grapes of Wrath
3096,My Man Godfrey (1957),Comedy,1957,My Man Godfrey
3097,"Shop Around the Corner, The (1940)",Comedy|Drama|Romance,1940,The Shop Around the Corner
3105,Awakenings (1990),Drama|Mystery,1990,Awakenings
3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,1999,Toy Story 2
3152,"Last Picture Show, The (1971)",Drama,1971,The Last Picture Show
3160,Magnolia (1999),Drama,1999,Magnolia
3196,Stalag 17 (1953),Drama|War,1953,Stalag 17
3198,Papillon (1973),Crime|Drama,1973,Papillon
3213,Batman: Mask of the Phantasm (1993),Animation|Children,1993,Batman: Mask of the Phantasm
3246,Malcolm X (1992),Drama,1992,Malcolm X
3252,Scent of a Woman (1992),Drama,1992,Scent of a Woman
3275,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller,2000,The Boondock Saints
3306,"Circus, The (1928)",Comedy,1928,The Circus
3310,"Kid, The (1921)",Comedy|Drama,1921,The Kid
3334,Key Largo (1948),Crime|Drama|Film-Noir|Thriller,1948,Key Largo
3362,Dog Day Afternoon (1975),Crime|Drama,1975,Dog Day Afternoon
3364,"Asphalt Jungle, The (1950)",Crime|Film-Noir,1950,The Asphalt Jungle
3365,"Searchers, The (1956)",Drama|Western,1956,The Searchers
3386,JFK (1991),Drama|Mystery|Thriller,1991,JFK
3404,Titanic (1953),Action|Drama,1953,Titanic
3424,Do the Right Thing (1989),Drama,1989,Do the Right Thing
3435,Double Indemnity (1944),Crime|Drama|Film-Noir,1944,Double Indemnity
3451,Guess Who's Coming to Dinner (1967),Drama,1967,Guess Who's Coming to Dinner
3468,"Hustler, The (1961)",Drama,1961,The Hustler
3469,Inherit the Wind (1960),Drama,1960,Inherit the Wind
3470,Dersu Uzala (1975),Adventure|Drama,1975,Dersu Uzala
3494,True Grit (1969),Adventure|Drama|Western,1969,True Grit
3499,Misery (1990),Drama|Horror|Thriller,1990,Misery
3503,Solaris (Solyaris) (1972),Drama|Mystery|Sci-Fi,1972,Solaris
3504,Network (1976),Comedy|Drama,1976,Network
3508,"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western,1976,The Outlaw Josey Wales
3527,Predator (1987),Action|Sci-Fi|Thriller,1987,Predator
3545,Cabaret (1972),Drama|Musical,1972,Cabaret
3546,What Ever Happened to Baby Jane? (1962),Drama|Horror|Thriller,1962,What Ever Happened to Baby Jane?
3578,Gladiator (2000),Action|Adventure|Drama,2000,Gladiator
3584,Breathless (1983),Action|Drama|Romance|Thriller,1983,Breathless
3598,Hamlet (2000),Crime|Drama|Romance|Thriller,2000,Hamlet
3629,"Gold Rush, The (1925)",Adventure|Comedy|Romance,1925,The Gold Rush
3671,Blazing Saddles (1974),Comedy|Western,1974,Blazing Saddles
3681,For a Few Dollars More (Per qualche dollaro in più) (1965),Action|Drama|Thriller|Western,1965,For a Few Dollars More
3723,Hamlet (1990),Drama,1990,Hamlet
3730,"Conversation, The (1974)",Drama|Mystery,1974,The Conversation
3735,Serpico (1973),Crime|Drama,1973,Serpico
3736,"Ace in the Hole (Big Carnival, The) (1951)",Drama,1951,Ace in the Hole
3741,Badlands (1973),Crime|Drama|Thriller,1973,Badlands
3742,Battleship Potemkin (1925),Drama|War,1925,Battleship Potemkin
3784,"Kid, The (2000)",Comedy|Fantasy,2000,The Kid
3801,Anatomy of a Murder (1959),Drama|Mystery,1959,Anatomy of a Murder
3897,Almost Famous (2000),Drama,2000,Almost Famous
3910,Dancer in the Dark (2000),Drama|Musical,2000,Dancer in the Dark
3916,Remember the Titans (2000),Drama,2000,Remember the Titans
3949,Requiem for a Dream (2000),Drama,2000,Requiem for a Dream
3967,Billy Elliot (2000),Drama,2000,Billy Elliot
4011,Snatch (2000),Comedy|Crime|Thriller,2000,Snatch
4022,Cast Away (2000),Drama,2000,Cast Away
